1,1,45,CSD20,844,
2,1,90,CSF13,844,
3,1,60,FI71S,844,
4,1,90,MA71A,844,
5,1,90,MA71B,844,
6,2,60,CSE20,844,
7,2,45,CSF20,844,
8,2,180,CSX53,844,
9,2,45,EEX11,844,
10,2,30,FI72N,844,
11,2,60,FI72S,844,
12,2,60,MA72A,844,
13,2,75,QB70C,844,
14,3,45,CSF30,844,
15,3,45,EEB21,844,
16,3,45,EEX21,844,
17,3,60,FI73S,844,
18,3,60,MA70G,844,
19,3,60,MA70H,844,
20,3,60,MA73A,844,
21,4,45,CSD21,844,
22,4,45,EEB22,844,
23,4,90,EEB31,844,
24,4,30,EEF11,844,
25,4,75,EEQ31,844,
26,4,30,FI74N,844,
27,4,60,FI74S,844,
28,5,45,CSA30,844,
29,5,60,CSB30,844,
30,5,45,CSG20,844,
31,5,30,CSR31,844,
32,5,60,CSW30,844,
33,5,60,EEE31,844,
34,5,30,EEF21,844,
35,5,45,ES70G,844,
36,6,45,CSA31,844,
37,6,60,CSE30,844,
38,6,60,CSO30,844,
39,6,60,CSW40,844,
40,6,400,CSX54,844,
41,6,60,EEE32,844,
42,6,45,EEX22,844,
43,7,45,CSI30,844,
44,7,45,CSR30,844,
45,7,60,CSW41,844,
46,7,60,CSW42,844,
47,7,60,EEC21,844,
48,7,45,EEQ32,844,
49,7,45,ES70P,844,
50,8,60,CSA40,844,963
51,8,60,CSA41,844,963
52,8,60,CSA42,844,963
53,8,60,CSA43,844,963
54,8,60,CSA44,844,963
55,8,60,CSA45,844,963
56,8,60,CSB40,844,968
57,8,60,CSB41,844,968
58,8,45,CSB42,844,968
59,8,60,CSB43,844,968
60,8,45,CSB50,844,968
61,8,45,CSB51,844,968
62,8,45,CSB52,844,968
63,8,60,CSB53,844,968
64,8,60,CSB54,844,968
65,8,60,CSB55,844,973
66,8,60,CSD40,844,966
67,8,45,CSD41,844,966
68,8,45,CSD42,844,966
69,8,45,CSD43,844,966
70,8,60,CSD45,844,966
71,8,45,CSD47,844,966
72,8,60,CSD52,844,966
73,8,45,CSD55,844,966
74,8,45,CSD57,844,966
75,8,45,CSD58,844,966
76,8,45,CSE40,844,965
77,8,45,CSE41,844,965
78,8,45,CSE42,844,965
79,8,45,CSE43,844,965
80,8,45,CSE44,844,965
81,8,45,CSE45,844,965
82,8,45,CSE46,844,965
83,8,45,CSE47,844,965
84,8,45,CSE48,844,965
85,8,45,CSG41,844,973
86,8,30,CSG42,844,973
87,8,60,CSG43,844,973
88,8,60,CSG44,844,973
89,8,60,CSG45,844,973
90,8,45,CSG47,844,973
91,8,60,CSG48,844,973
92,8,45,CSG70,844,973
93,8,45,CSH30,844,969
94,8,45,CSH41,844,969
95,8,45,CSH42,844,969
96,8,60,CSH43,844,969
97,8,45,CSH44,844,969
98,8,60,CSH45,844,969
99,8,45,CSH50,844,969
100,8,45,CSH51,844,969
101,8,60,CSI31,844,962
102,8,45,CSI41,844,962
103,8,45,CSI42,844,962
104,8,45,CSI51,844,962
105,8,45,CSI52,844,962
106,8,45,CSI53,844,962
107,8,45,CSI54,844,962
108,8,45,CSI55,844,962
109,8,45,CSI56,844,962
110,8,45,CSI57,844,962
111,8,45,CSI58,844,962
112,8,60,CSL40,844,973
113,8,60,CSL41,844,973
114,8,45,CSM30,844,965
115,8,60,CSM40,844,972
116,8,60,CSM41,844,972
117,8,60,CSM42,844,972
118,8,60,CSM43,844,972
119,8,90,CSM44,844,972
120,8,60,CSM45,844,972
121,8,30,CSR20,844,964
122,8,60,CSR40,844,964
123,8,60,CSR41,844,964
124,8,60,CSR42,844,964
125,8,60,CSR43,844,964
126,8,60,CSR44,844,964
127,8,45,CSR45,844,964
128,8,45,CSR46,844,964
129,8,45,CSR47,844,964
130,8,45,CSR48,844,964
131,8,45,CSR53,844,964
132,8,60,CSS30,844,
133,8,60,CSU40,844,973
134,8,60,CSU41,844,973
135,8,60,CSU42,844,973
136,8,60,CSU43,844,973
137,8,75,CSU44,844,973
138,8,60,CSV30,844,961
139,8,60,CSV40,844,961
140,8,60,CSV41,844,961
141,8,60,CSV42,844,961
142,8,60,CSV43,844,961
143,8,60,CSV45,844,961
144,8,45,CSV50,844,961
145,8,45,CSV52,844,961
146,8,45,CSV53,844,961
147,8,60,CSW43,844,971
148,8,60,CSW44,844,971
149,8,45,CSW45,844,971
150,8,45,CSW46,844,971
151,8,45,CSW47,844,971
152,8,60,CSW48,844,960
153,8,60,CSW49,844,960
154,8,45,CSW55,844,971
155,8,45,CSW56,844,973
156,8,75,DI84D,844,972
157,8,30,ED70T,844,973
158,8,30,ED70U,844,973
159,8,30,EEC31,844,
160,8,60,EEC41,844,960
161,8,60,EEC42,844,960
162,8,45,EEC43,844,960
163,8,60,EEC44,844,960
164,8,60,EEC45,844,960
165,8,60,EEC46,844,960
166,8,45,EEL51,844,967
167,8,60,EES41,844,971
168,8,45,EEX23,844,
169,8,30,EEY41,844,970
170,8,60,EEY42,844,970
171,8,60,EEY43,844,970
172,8,60,EEY44,844,970
173,8,60,EEY51,844,970
174,8,60,EEY52,844,970
175,8,90,ELH03,844,973
176,8,120,ELSC01,844,973
177,8,120,ELSP01,844,973
178,8,60,EL6AE,844,973
179,8,60,EL6BA,844,973
180,8,60,EL6BB,844,973
181,8,60,EL6BC,844,973
182,8,60,EL6BD,844,973
183,8,60,EL6BE,844,973
184,8,60,EL6CA,844,973
185,8,60,EL6CB,844,973
186,8,60,EL6CC,844,973
187,8,60,EL6CD,844,973
188,8,60,EL6EE,844,973
189,8,60,EL64B,844,973
190,8,60,EL65B,844,973
191,8,60,EL65F,844,973
192,8,60,EL66B,844,973
193,8,45,EL75H,844,965
194,8,30,ES70B,844,973
195,8,30,ES70J,844,973
196,8,30,ES70N,844,973
197,8,60,ET7GL,844,964
198,8,60,ET7GM,844,964
199,8,45,FCH7FC,844,973
200,8,45,FCH7GA,844,973
201,8,45,FCH7HB,844,973
202,8,45,FCH7HC,844,973
203,8,45,FCH7SC,844,973
204,8,45,FCH7XF,844,973
205,8,45,FCH7XG,844,973
206,8,60,FI70A,844,967
207,8,60,FI70B,844,967
208,8,30,FI70D,844,967
209,8,45,FI70E,844,967
210,8,90,FI77B,844,967
211,8,30,GE70D,844,
212,8,30,GE70F,844,973
213,8,60,ICSB55,844,968
